filepath,filename,label,label_idx,is_mixup,source_1,source_2,group_1,group_2,group_id,n_groups,snr_db,noise_kind,variant_idx
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr10dB_pink_v19_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr10dB_pink_v19_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,10,pink,19
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr10dB_pink_v7_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr10dB_pink_v7_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,10,pink,7
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr10dB_white_v13_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr10dB_white_v13_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,10,white,13
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr10dB_white_v25_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr10dB_white_v25_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,10,white,25
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr12dB_pink_v10_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr12dB_pink_v10_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,12,pink,10
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr12dB_white_v11_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr12dB_white_v11_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,12,white,11
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr12dB_white_v3_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr12dB_white_v3_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,12,white,3
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr15dB_pink_v1_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr15dB_pink_v1_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,15,pink,1
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr1dB_pink_v21_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr1dB_pink_v21_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,1,pink,21
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr1dB_pink_v24_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr1dB_pink_v24_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,1,pink,24
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr1dB_white_v4_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr1dB_white_v4_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,1,white,4
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr2dB_white_v12_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr2dB_white_v12_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,2,white,12
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr3dB_white_v6_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr3dB_white_v6_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,3,white,6
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr4dB_white_v18_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr4dB_white_v18_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,4,white,18
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr5dB_white_v5_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr5dB_white_v5_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,5,white,5
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr6dB_pink_v23_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr6dB_pink_v23_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,6,pink,23
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr6dB_pink_v8_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr6dB_pink_v8_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,6,pink,8
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr6dB_white_v20_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr6dB_white_v20_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,6,white,20
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_pink_v17_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_pink_v17_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,7,pink,17
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_pink_v2_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_pink_v2_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,7,pink,2
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_pink_v9_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_pink_v9_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,7,pink,9
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_white_v0_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_white_v0_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,7,white,0
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_white_v15_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr7dB_white_v15_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,7,white,15
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr8dB_pink_v22_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr8dB_pink_v22_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,8,pink,22
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr8dB_white_v16_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr8dB_white_v16_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,8,white,16
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\138250__hupguy__chain-fence-hit_sequence-01r_snr9dB_pink_v14_spectrogram.png,138250__hupguy__chain-fence-hit_sequence-01r_snr9dB_pink_v14_spectrogram.png,chain_link_climbing,0,False,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,,138250__hupguy__chain-fence-hit_sequence-01r,1,9,pink,14
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\189219__starvolt__fence-rattle-1-rear_snr0dB_white_v8_spectrogram.png,189219__starvolt__fence-rattle-1-rear_snr0dB_white_v8_spectrogram.png,chain_link_climbing,0,False,189219__starvolt__fence-rattle-1-rear,,starvolt__fence-rattle-1,,starvolt__fence-rattle-1,1,0,white,8
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\189219__starvolt__fence-rattle-1-rear_snr10dB_pink_v13_spectrogram.png,189219__starvolt__fence-rattle-1-rear_snr10dB_pink_v13_spectrogram.png,chain_link_climbing,0,False,189219__starvolt__fence-rattle-1-rear,,starvolt__fence-rattle-1,,starvolt__fence-rattle-1,1,10,pink,13
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\189219__starvolt__fence-rattle-1-rear_snr11dB_white_v19_spectrogram.png,189219__starvolt__fence-rattle-1-rear_snr11dB_white_v19_spectrogram.png,chain_link_climbing,0,False,189219__starvolt__fence-rattle-1-rear,,starvolt__fence-rattle-1,,starvolt__fence-rattle-1,1,11,white,19
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\189219__starvolt__fence-rattle-1-rear_snr12dB_white_v14_spectrogram.png,189219__starvolt__fence-rattle-1-rear_snr12dB_white_v14_spectrogram.png,chain_link_climbing,0,False,189219__starvolt__fence-rattle-1-rear,,starvolt__fence-rattle-1,,starvolt__fence-rattle-1,1,12,white,14
C:\Users\Cengiz\Desktop\inosens-internship\dataset\synthetic_dataset\chain_link_climbing\189219__starvolt__fence-rattle-1-rear_snr12dB_white_v16_spectrogram.png,189219__starvolt__fence-rattle-1-rear_snr12dB_white_v16_spectrogram.png,chain_link_climbing,0,False,189219__starvolt__fence-rattle-1-rear,,starvolt__fence-rattle-1,,starvolt__fence-rattle-1,1,12,white,16
